,tweets,os,cleaned,english,len,sw_removed,stemmed
0,"@JFKEagles at @jagsgirlshoops To watch visit our Facebook page, https://t.co/auk0FmqAeJ, Roku or Apple TV, or Bloomington Cable 15(SD) 799 (HD). JV Game live starting at 5:15 Varsity at 7:00",9.4,jfkeagles at jagsgirlshoops to watch visit our facebook page https t co auk fmqaej roku or apple tv or bloomington cable sd hd jv game live starting at varsity at,at to watch visit our page t auk or apple or cable game live starting at varsity at,18,watch visit page auk apple cable game live starting varsity,watch visit page auk appl cabl game live start varsiti
1,"@thewadekeller Yeah I just checked my Samsung TV and no peacock. I have a Roku in the house plus I can plug an HDMI adapter into my iPad or laptop, but really not the point. Hopefully Peacock becomes available on smart TVs as I think it will frustrate a lot of customers if it doesnâ€™t.",9.4,thewadekeller yeah i just checked my samsung tv and no peacock i have a roku in the house plus i can plug an hdmi adapter into my ipad or laptop but really not the point hopefully peacock becomes available on smart tvs as i think it will frustrate a lot of customers if it doesn t,yeah i just checked my and no peacock i have a in the house plus i can plug an adapter into my or but really not the point hopefully peacock becomes available on smart as i think it will frustrate a lot of if it t,46,yeah checked peacock house plus plug adapter really point hopefully peacock becomes available smart think frustrate lot,yeah check peacock hous plu plug adapt realli point hope peacock becom avail smart think frustrat lot
2,My new cable for my gpu will be here today. I was also sad and bought myself a roku.,9.4,my new cable for my gpu will be here today i was also sad and bought myself a roku,my new cable for my will be here today i was also sad and bought myself a,17,new cable today also sad bought,new cabl today also sad bought
3,@Google @YouTube @TeamYouTube @RokuSupport Does the YouTube app no longer load on older Roku devices? I haven't been able to launch YouTube on my Roku 2 for 2 days and no one at YouTube or Roku seems to know what's wrong. Let me know something!,9.4,google youtube teamyoutube rokusupport does the youtube app no longer load on older roku devices i haven t been able to launch youtube on my roku for days and no one at youtube or roku seems to know what s wrong let me know something,does the no longer load on older i haven t been able to launch on my for days and no one at or to know what s wrong let me know something,32,longer load older able launch days know wrong let know something,longer load older abl launch day know wrong let know someth
4,"@JamesKiernan @TheTradeDesk Smart. Strategics with consumer data that think they have an opportunity to capitalize in ad tech (given data privacy shifts) should white label vs. buy / build. Much lower risk. And if you start getting real traction, then you can buy / build! (See: Roku).",9.4,jameskiernan thetradedesk smart strategics with consumer data that think they have an opportunity to capitalize in ad tech given data privacy shifts should white label vs buy build much lower risk and if you start getting real traction then you can buy build see roku,smart strategics with consumer data that think they have an opportunity to capitalize in ad tech given data privacy should white label buy build much lower risk and if you start getting real traction then you can buy build see,40,smart strategics consumer data think opportunity capitalize ad tech given data privacy white label buy build much lower risk start getting real traction buy build see,smart strateg consum data think opportun capit ad tech given data privaci white label buy build much lower risk start get real traction buy build see
6,@davemeltzerWON @bryanalvarez I have a question about the WWE Network. I have a Samsung Smart tv snd it doesnâ€™t carry the Peacock Network. On my end on March 18th will the WWE Network turn into the Peacock Network or do I have to purchase a Google Chromcast or a Roku device?,9.4,davemeltzerwon bryanalvarez i have a question about the wwe network i have a samsung smart tv snd it doesn t carry the peacock network on my end on march th will the wwe network turn into the peacock network or do i have to purchase a google chromcast or a roku device,i have a question about the network i have a smart it t carry the peacock network on my end on march th will the network turn into the peacock network or do i have to purchase a or a device,41,question network smart carry peacock network end march th network turn peacock network purchase,question network smart carri peacock network end march th network turn peacock network purchas
8,You talk about how much GAMESTOP LOST LAST YR HOW ABOUT HOW MUCH DID $ROKU LOSE THEYRE NOT PROFITABLE WHATS THEIR TRUE VALUE ? $200-300,9.4,you talk about how much gamestop lost last yr how about how much did roku lose theyre not profitable whats their true value,you talk about how much lost last yr how about how much did lose theyre not profitable whats their true value,21,talk much lost last yr much lose theyre profitable whats true value,talk much lost last yr much lose theyr profit what true valu
9,"Hey @discoveryplus, I'm having an issue with your @Roku app. Once or twice in every show I stream, the app either hard crashes to a static like screen, before rebooting my Roku Ultra (4800X), or it'll kick me back to the Roku home screen. Every other streaming service works fine.",9.4,hey discoveryplus i m having an issue with your roku app once or twice in every show i stream the app either hard crashes to a static like screen before rebooting my roku ultra x or it ll kick me back to the roku home screen every other streaming service works fine,hey i m an issue with your once or twice in every show i stream the either hard to a static like screen before my ultra x or it kick me back to the home screen every other streaming service works fine,42,hey issue twice every show stream either hard static like screen kick back home screen every streaming service works fine,hey issu twice everi show stream either hard static like screen kick back home screen everi stream servic work fine
10,@Roku I've messaged @RokuSupport was told they would get back to me and never did yesterday left me hanging all day now nor responding this is very unprofessional.,9.4,roku i ve messaged rokusupport was told they would get back to me and never did yesterday left me hanging all day now nor responding this is very unprofessional,i was told they would get back to me and never did yesterday left me hanging all day now nor this is very unprofessional,24,told get back never yesterday left hanging day unprofessional,told get back never yesterday left hang day unprofession
11,@RokuSupport yooooo why go radio silent on me I need HELP ! I know I'm just one person but come on man. @MikeHeck_JR how come roku and espn plus cant make up who I need my refund from. Literally I buy more then half the ppvs and never complained. I didnt get my purchase.,9.4,rokusupport yooooo why go radio silent on me i need help i know i m just one person but come on man mikeheck jr how come roku and espn plus cant make up who i need my refund from literally i buy more then half the ppvs and never complained i didnt get my purchase,why go radio silent on me i need help i know i m just one person but come on man how come and plus cant make up who i need my refund from literally i buy more then half the and never i didnt get my purchase,47,go radio silent need help know person come man come plus cant make need refund literally buy half never didnt get purchase,go radio silent need help know person come man come plu cant make need refund liter buy half never didnt get purchas
